,Gender,ConvertedSalary,AnosProgramando
2610,0,115000.0,19
146,0,55000.0,4
1347,1,19104.0,7
8569,0,112730.0,19
1590,1,45420.0,4
2095,1,19068.0,4
4730,1,97500.0,25
223,1,24156.0,4
7898,1,32500.0,4
513,0,57390.0,10
2947,1,90000.0,4
7097,0,128208.0,19
1268,0,33337.0,4
4089,1,72209.0,13
7964,0,110000.0,19
5383,0,36720.0,10
9782,0,61194.0,10
8160,0,58340.0,7
8777,1,0.0,4
5618,0,85000.0,7
9902,0,103965.0,33
2321,1,130000.0,22
2742,1,16980.0,10
9238,0,60000.0,7
4468,0,31309.0,4
2590,1,70161.0,4
7703,0,9029.0,4
608,0,1884.0,7
443,1,80521.0,4
8265,1,44633.0,1
9572,1,94000.0,7
8428,1,41671.0,7
6104,0,210000.0,10
5999,0,70000.0,1
961,0,36716.0,16
6076,0,73433.0,19
8531,0,0.0,4
4042,0,48616.0,7
4985,1,23340.0,10
1485,1,9393.0,7
172,0,69452.0,10
7669,0,0.0,4
4440,0,35000.0,13
3986,1,4248.0,4
688,1,5820.0,4
7539,1,675072.0,22
3750,1,27252.0,1
279,0,38552.0,4
6316,0,54948.0,22
5835,0,32892.0,4
7654,1,52404.0,4
2676,0,7488.0,4
1636,1,44064.0,25
748,1,66000.0,16
6848,1,64417.0,4
1856,0,104178.0,16
8595,0,79973.0,7
5159,0,34269.0,7
6694,1,39466.0,7
4479,0,120000.0,7
8387,0,44508.0,16
6860,0,14964.0,4
8913,0,180000.0,19
7203,0,17628.0,16
2277,0,55075.0,7
5745,1,48955.0,1
7088,0,1000000.0,33
7378,0,164484.0,4
2875,1,411228.0,7
6640,0,40282.0,4
6007,1,29376.0,7
4671,0,110000.0,10
7122,1,67313.0,4
1723,0,48313.0,4
778,0,20964.0,10
7559,0,40332.0,10
1338,0,83000.0,22
2516,1,107964.0,16
3066,0,3756.0,4
3407,0,288000.0,10
2416,0,33780.0,13
2315,0,70000.0,19
717,0,11544.0,4
7040,0,69761.0,7
6124,1,47984.0,4
7610,1,106000.0,4
863,1,110000.0,4
5820,1,88116.0,7
4178,0,125014.0,33
639,0,41136.0,10
2288,0,72000.0,7
3735,0,130337.0,22
1906,0,47304.0,13
5397,1,85671.0,13
3539,1,2000000.0,25
1112,1,11748.0,1
9908,1,3384.0,1
1355,0,29376.0,7
1747,1,22030.0,13
2943,1,411228.0,16
4369,0,0.0,1
9091,1,11741.0,4
6641,0,76397.0,16
7039,1,75000.0,4
6217,0,24972.0,13
6925,0,13524.0,19
6732,0,160000.0,28
8891,0,85000.0,10
5214,1,3192.0,1
3061,1,60000.0,4
7061,0,88119.0,10
5172,1,5016.0,4
9691,1,35244.0,7
7428,0,96000.0,7
497,1,64417.0,7
1000,0,41671.0,7
7530,0,170000.0,33
5357,0,39164.0,4
1707,1,400000.0,19
826,0,48616.0,4
6324,1,69430.0,22
4227,1,66496.0,4
7686,1,115000.0,4
7579,1,12000.0,13
2353,0,80000.0,13
2558,1,23664.0,4
7158,0,44400.0,7
2597,1,10000.0,4
1976,0,80425.0,10
2771,1,50000.0,10
1099,0,65000.0,7
5175,0,22699.0,4
6553,0,18312.0,4
985,0,337788.0,4
1215,1,88116.0,19
8861,0,70000.0,1
3063,0,69452.0,16
3681,0,28800.0,4
3381,0,48616.0,33
5056,1,360.0,1
6005,1,8610.0,7
4488,1,39164.0,10
7240,0,31056.0,10
7018,1,14484.0,13
1265,1,51408.0,1
9263,1,39648.0,7
378,0,62507.0,7
4581,1,6660.0,4
9990,0,115000.0,7
6802,1,50005.0,4
904,0,31572.0,7
2542,0,110000.0,10
7483,0,18768.0,7
9807,0,100000.0,13
1514,0,960000.0,16
3451,0,75008.0,33
945,1,49932.0,13
2059,1,30852.0,4
8733,0,25003.0,7
2470,0,187520.0,25
635,1,22416.0,10
3285,1,6576.0,4
4445,1,73645.0,1
8181,0,52000.0,4
857,0,122388.0,19
4306,0,28956.0,10
7750,1,135000.0,10
3751,1,93000.0,1
8430,1,22032.0,1
1656,0,84129.0,13
9203,1,45908.0,7
7152,0,8904.0,7
6827,1,87000.0,1
4297,0,100000.0,7
596,1,0.0,4
1569,0,132000.0,16
2182,1,88116.0,7
6979,0,27600.0,10
4782,0,45283.0,13
311,0,56951.0,1
5936,1,75000.0,7
1554,0,12000.0,4
2887,1,78000.0,4
5658,0,27756.0,4
7510,0,12480.0,4
9611,0,102318.0,19
3119,0,7827.0,4
1240,0,85000.0,16
6447,0,20274.0,7
6155,0,66000.0,7
6937,0,8062.0,4
5673,0,40392.0,1
4213,0,58752.0,25
5990,0,50000.0,1
1010,0,42836.0,10
7504,1,16116.0,7
7885,1,8808.0,4
2026,1,12888.0,4
7123,1,10764.0,16
4979,1,72696.0,4
6636,1,2900.0,4
7395,1,70000.0,19
215,0,31788.0,10
4870,0,80000.0,7
3260,0,10620.0,4
5242,1,150000.0,4
5953,0,39780.0,16
6713,1,88573.0,7
4432,1,10776.0,7
214,1,98000.0,4
168,0,64000.0,16
7513,1,29376.0,1
4746,0,43180.0,7
5078,0,16908.0,13
5624,1,48660.0,7
9628,0,41671.0,1
1027,1,44064.0,7
2880,0,29724.0,16
8667,1,40388.0,13
8033,0,119960.0,22
3839,0,180000.0,13
4603,0,250000.0,33
8900,1,64417.0,7
2299,0,97233.0,10
4778,1,110250.0,7
9056,0,21133.0,10
3316,0,24624.0,10
692,1,28056.0,7
3472,0,89100.0,4
9490,1,35000.0,1
8184,1,64800.0,4
5466,0,9750.0,7
2445,1,95000.0,4
2483,1,121995.0,7
3613,0,51408.0,7
4811,0,11232.0,4
3630,0,8923.0,7
5986,0,10848.0,10
3710,1,13200.0,1
4534,1,666744.0,13
2996,1,15720.0,13
896,1,75600.0,7
489,1,75000.0,19
8421,0,72209.0,10
9174,1,14856.0,4
335,1,173650.0,22
833,1,20000.0,4
8012,0,11868.0,10
7404,0,24408.0,13
6592,0,49000.0,1
1317,0,90000.0,19
7594,1,75008.0,16
9829,1,130000.0,22
9121,1,48955.0,7
890,1,101200.0,1
978,1,11364.0,7
283,0,68000.0,7
6036,1,130000.0,7
2129,1,50000.0,1
9220,1,10284.0,1
9077,0,12000.0,13
3809,1,108395.0,33
93,0,60000.0,4
2223,1,80000.0,1
4077,1,80000.0,7
3506,1,95000.0,1
81,1,28176.0,7
3160,1,5460.0,4
5345,1,52000.0,4
6851,1,177516.0,19
3412,0,14704.0,7
1039,1,31596.0,16
3108,0,64417.0,10
3073,0,149712.0,13
3243,1,64590.0,1
242,0,48468.0,33
1164,0,14688.0,7
4631,1,76397.0,16
2566,1,2000000.0,4
5405,1,10500.0,7
9054,0,44064.0,25
6672,0,14856.0,4
1188,0,12528.0,1
5908,1,40000.0,4
5222,0,3900.0,4
3137,0,130000.0,10
6575,1,122050.0,13
5201,0,80776.0,10
5734,0,27600.0,16
6696,1,49923.0,7
955,0,131451.0,19
7577,1,11604.0,16
8366,0,35000.0,4
3847,1,32316.0,4
8568,0,34752.0,22
4658,0,53892.0,4
5235,0,26436.0,1
8343,1,90000.0,1
6014,1,90000.0,10
4536,1,95968.0,13
586,0,38652.0,4
4287,0,63896.0,13
9677,1,50000.0,4
5698,0,140000.0,13
3390,1,2880.0,7
3687,0,66089.0,4
9052,0,40000.0,1
3725,1,48950.0,7
2867,1,24000.0,4
2525,0,15900.0,10
5526,0,78000.0,4
6457,0,51000.0,4
5372,1,857.0,1
5323,0,3756.0,1
5103,0,111123.0,13
8774,0,33370.0,10
4741,1,102000.0,16
9358,1,52339.0,7
2282,1,47922.0,4
7793,1,136000.0,7
7159,1,110000.0,7
7981,0,157000.0,10
6146,1,61194.0,16
4841,1,120000.0,4
7807,0,600060.0,19
2226,1,88119.0,16
3309,1,80000.0,4
5067,0,73433.0,7
9640,1,24972.0,7
9117,1,21804.0,4
1291,0,14496.0,7
3967,1,110000.0,13
371,0,73428.0,10
5356,0,100000.0,19
9556,0,67587.0,19
4133,1,90000.0,7
8156,1,98000.0,19
3910,0,50904.0,10
8597,1,20555.0,1
1387,0,10488.0,4
5469,1,42500.0,1
5210,1,21916.0,19
8828,1,69500.0,4
2812,0,37176.0,4
2942,0,4692.0,10
1764,0,13548.0,7
5162,0,6576.0,4
1896,1,130000.0,16
3619,1,2000000.0,10
2220,0,11112.0,25
6690,1,121000.0,10
6425,0,165000.0,22
8976,1,59172.0,10
7441,0,29040.0,4
5617,0,20964.0,7
1947,1,66000.0,4
7863,1,86412.0,10
4060,0,119960.0,10
6433,0,58752.0,33
5322,0,13788.0,7
5284,0,130000.0,4
3547,1,82000.0,25
8981,1,61003.0,1
